BaseP,EXP.cost,x,y,row,col,field,EXP.rate.ssopt,NR.ssopt,NR.min,NR.opp,NR.fs,yld.opt,yld.min,yld.fs,pro.opt,pro.min,pro.fs,NR.ffopt,yld.ffopt,pro.ffopt,EXP.rate.ffopt,NUE,cost.NUE,NR.act,yld.act,pro.act,sim
7.24,0.4,639085.9,5101560,100,10,sec35middle,76,213.980233977845,122.406978465032,57.40565312,190.574547392519,58.50923,43.82596,57.49066,12.69877,9.811571,13.88441,211.682710984384,58.07579,12.59084,73,0.2170681,6.59887024,211.735924132388,58.6012071211667,13.010799671918,2021EconCondition
7.24,0.4,639095.9,5101560,100,11,sec35middle,76,171.897068068392,112.1640878566,49.47787424,150.245785445007,52.7503,42.37717,51.98268,12.67122,9.790287,13.85429,169.692467146834,52.32584,12.56353,73,0.2171811,6.60230544,150.531545393587,50.42814526,13.1064565268552,2021EconCondition
7.24,0.4,639115.9,5101560,100,13,sec35middle,75,162.682688833543,102.417143979139,42.0128624,136.602572437686,51.4627,41.01295,50.11924,12.59095,9.75563,13.80524,160.609518375297,51.09759,12.51905,73,0.2158721,6.476163,131.941960674089,48.9571870155418,13.5487475645812,2021EconCondition
7.24,0.4,639125.9,5101560,100,14,sec35middle,75,176.910801760528,104.517128792994,43.91443712,152.554533733479,53.4367,41.36046,52.29826,12.53877,9.715196,13.74802,174.024393916572,52.962,12.46717,73,0.2062554,6.187662,152.161528637462,52.2435147756667,13.7473870205231,2021EconCondition
7.24,0.4,639135.9,5101560,100,15,sec35middle,75,200.216737099944,109.31800343134,49.50862688,189.633536137542,56.82198,42.38279,57.39838,12.18044,9.437557,13.35514,197.231355199889,56.34201,12.11088,73,0.2091459,6.274377,190.207139093226,57.4796266047471,13.3569338318183,2021EconCondition
7.24,0.4,639145.9,5101560,100,16,sec35middle,74,202.427852957191,92.0121452825481,36.34452704,187.862333481716,57.16583,39.97707,57.18064,12.02752,9.345623,13.22504,201.601340970285,57.01918,11.99291,73,0.2111473,6.24996008,195.840961769755,58.2964025953334,13.2412464423851,2021EconCondition
7.24,0.4,639155.9,5101560,100,17,sec35middle,75,204.858675396617,88.5539144153321,33.75742016,192.779788222291,57.55597,39.50428,57.86101,12.02803,9.319469,13.18803,202.709213975869,57.1944,11.95934,73,0.2088686,6.266058,192.781515315784,57.8610076879376,13.1878752751439,2021EconCondition
7.24,0.4,639175.9,5101560,100,19,sec35middle,75,214.036267053008,100.773264119186,43.41473408,204.850221526967,58.81045,41.26914,59.50701,12.04531,9.332863,13.20698,210.504112689373,58.25873,11.97653,73,0.2083543,6.250629,199.222011882562,58.7216386525001,13.1968452245813,2021EconCondition
7.24,0.4,639185.9,5101560,100,20,sec35middle,121,197.706453855126,101.297331957095,44.6769056,186.519051267349,58.62027,41.4998,57.0436,13.06506,9.210644,13.03403,190.334832471641,55.58082,11.81969,73,0.180506,8.7364904,191.666274987754,57.7610204733156,13.0427494495589,2021EconCondition
7.24,0.4,639195.9,5101560,100,21,sec35middle,74,174.516969286608,87.9786698643709,32.97579968,158.608583795232,53.29756,39.36144,53.17504,12.05825,9.369506,13.25884,172.321929431591,52.96035,12.02355,73,0.2201008,6.51498368,155.899603276805,52.7871769633512,13.2478707069389,2021EconCondition
7.24,0.4,639475.9,5101560,100,49,sec35middle,141,83.8772897958896,50.4715337822815,-3.1043248,61.1952802072878,44.90311,32.76785,40.06754,16.24571,10.746596,15.20756,72.6732926218903,38.82177,13.79073,73,0.1623031,9.15389484,66.7880078647603,38.8852464642395,14.3489392849571,2021EconCondition
7.24,0.4,639485.9,5101560,100,50,sec35middle,139,118.82771173779,55.9258672657247,5.40326719999999,96.2912613140079,48.83386,34.3226,44.61434,14.63348,9.751247,13.79904,93.9006642938713,41.94185,12.51343,73,0.1635084,9.09106704,92.2942076781548,40.6186132517979,11.1358405641247,2021EconCondition
7.24,0.4,639495.9,5101560,100,51,sec35middle,141,115.166013849563,52.724785173127,2.20313215999997,90.8597141119001,48.53757,33.73778,43.87736,14.95103,9.890161,13.99562,87.505540941448,41.00818,12.69169,73,0.1611296,9.08770944,92.6673911217828,40.5563442503021,11.2839483386256,2021EconCondition
7.24,0.4,639505.9,5101560,100,52,sec35middle,141,110.166349283249,53.8385819982962,2.75602303999997,86.2029927707999,47.88889,33.83882,43.24746,15.05341,9.957887,14.09146,82.353749829633,40.27816,12.7786,73,0.161238,9.0938232,78.6912024807275,38.6438831314646,11.4782646702499,2021EconCondition
7.24,0.4,639525.9,5101560,100,54,sec35middle,132,122.83603908753,61.3915802769681,7.73882623999998,99.8036999601022,49.06991,34.74942,45.13907,14.87566,10.157241,14.37356,100.480023532864,42.6996,13.03443,73,0.1752979,9.25572912,90.4451011584089,40.3679207694063,12.0237262062779,2021EconCondition
7.24,0.4,639535.9,5101560,100,55,sec35middle,134,130.776773390863,67.9967713252769,12.6550352,106.105511803435,50.33195,35.64785,46.01297,15.05086,10.20799,14.44538,106.353699041611,43.48999,13.09955,73,0.1752629,9.39409144,100.481416824812,41.6826238882604,12.0245594588242,2021EconCondition
7.24,0.4,639545.9,5101560,100,56,sec35middle,135,137.882621670704,70.1591504469426,14.6350784,113.271295608227,51.34556,36.0097,46.97719,15.00947,10.14494,14.35616,111.52555171606,44.21427,13.01864,73,0.1603715,8.660061,113.38780977259,43.3027966910313,11.6504065105318,2021EconCondition
7.24,0.4,639555.9,5101560,100,57,sec35middle,40,153.960376586895,107.542828704652,41.48651072,137.998503319713,48.56409,40.91676,50.53679,12.1027,10.603678,15.00532,144.115435580792,48.58411,13.60732,73,0.286217,4.579472,155.522801084614,48.776951548523,12.0991799233054,2021EconCondition
7.24,0.4,639055.9,5101560,100,7,sec35middle,72,243.940745593005,145.142708302249,75.0765468799999,221.56304862824,62.44472,47.05529,61.72423,12.595,9.8435,13.92959,243.740857706776,62.45482,12.63181,73,0.2196977,6.32729376,224.879003067742,59.6455494060834,12.401607001704,2021EconCondition
7.24,0.4,639065.9,5101560,100,8,sec35middle,76,233.370812847234,133.77871955076,66.77016032,212.471161346991,61.2037,45.53731,60.47989,12.61734,9.748659,13.79538,231.752328642074,60.86839,12.51011,73,0.2177671,6.62011984,177.283797807008,52.6798655105418,11.5517386069068,2021EconCondition
7.24,0.4,639075.9,5101560,100,9,sec35middle,74,218.942441563688,121.17103723821,56.57888864,197.258292930753,59.12364,43.67487,58.40271,12.5976,9.788593,13.85189,217.745635595155,58.92115,12.56135,73,0.2192687,6.49035352,165.87041289778,51.2107194901162,11.8674815909343,2021EconCondition
7.24,0.4,639085.9,5101570,101,10,sec35middle,76,215.285236971756,110.025651850092,48.1149632,191.90253292459,58.72878,42.1281,57.67115,12.60401,9.738355,13.7808,212.474559504488,58.22813,12.49689,73,0.2171703,6.60197712,213.282571876917,58.6948501598126,12.8043155508396,2021EconCondition
7.24,0.4,639095.9,5101570,101,11,sec35middle,75,176.57033557716,112.597097458904,50.08915136,155.253611568695,53.37279,42.48888,52.66627,12.57954,9.746792,13.79274,174.552886264065,53.01663,12.50771,73,0.2176198,6.528594,159.08042866304,51.6372250206668,13.0638145411266,2021EconCondition
7.24,0.4,639115.9,5101570,101,13,sec35middle,75,167.078806758085,106.587810789136,45.38219168,143.24400433897,52.07291,41.62869,51.02628,12.57344,9.742058,13.78604,165.131155674411,51.7257,12.50164,73,0.2159738,6.479214,139.890627279945,50.2018637198751,13.5975010726558,2021EconCondition
7.24,0.4,639125.9,5101570,101,14,sec35middle,75,179.603454973525,105.310224778984,44.60177504,157.129440577776,53.81189,41.48607,52.92334,12.52585,9.705188,13.73386,176.522350619795,53.3109,12.45432,73,0.2064949,6.194847,157.448342272242,52.9820711089584,13.7429282038473,2021EconCondition
7.24,0.4,639135.9,5101570,101,15,sec35middle,75,212.657674309951,101.002998946909,43.37632064,198.5414168497,58.59288,41.26212,58.63457,12.08768,9.365691,13.25344,209.398787823147,58.07803,12.01866,73,0.2093888,6.281664,195.853033739915,58.2518545672679,13.2438004584666,2021EconCondition
7.24,0.4,639145.9,5101570,101,16,sec35middle,73,195.324144677496,89.2761100802646,34.42412864,182.056367954035,56.18672,39.62612,56.39923,11.94157,9.30562,13.16843,195.324144677496,56.18672,11.94157,73,0.2113924,6.17265808,187.773364920919,57.1952378407917,13.1776854719844,2021EconCondition
7.24,0.4,639155.9,5101570,101,17,sec35middle,75,199.649500260282,89.8590191966608,34.88919392,188.312333950821,56.84897,39.71111,57.25464,12.01018,9.305644,13.16847,198.443576936904,56.61741,11.9416,73,0.2091111,6.273333,183.996012452197,56.6490607935625,13.1586577190838,2021EconCondition
7.24,0.4,639175.9,5101570,101,19,sec35middle,121,212.07268793305,105.033064849309,47.09213696,201.495676630018,60.55523,41.94118,59.06184,13.18093,9.29233,13.14962,202.183603946553,57.14544,11.92452,73,0.181973,8.8074932,201.927640010528,59.1296319404792,13.1553047308419,2021EconCondition
7.24,0.4,639185.9,5101570,101,20,sec35middle,121,182.90108976856,111.270871282162,52.89459104,169.205129565198,56.60737,43.00157,54.68722,13.01952,9.178536,12.98859,171.173800173073,52.95914,11.77849,73,0.180506,8.7364904,181.618459008019,56.423338239878,13.0136588228306,2021EconCondition
7.24,0.4,639195.9,5101570,101,21,sec35middle,74,157.884778794777,91.8571007454717,35.3909216,135.745276126861,50.93041,39.8028,50.02751,12.19389,9.474897,13.40798,157.1203073281,50.78851,12.1588,73,0.2202045,6.5180532,132.933918056234,49.6383246121072,13.4048649725529,2021EconCondition
7.24,0.4,639475.9,5101570,101,49,sec35middle,141,89.4788608638946,50.863118397863,-2.25293632,64.5569673301723,45.52883,32.92344,40.45921,16.01853,10.596315,14.9949,75.4744248444943,39.20977,13.59788,73,0.1623531,9.15671484,68.6336889415921,39.1797079729479,14.1835716849041,2021EconCondition
7.24,0.4,639485.9,5101570,101,50,sec35middle,141,118.837860949625,55.8291460317387,5.4653744,96.2249643196684,48.96224,34.33395,44.60561,14.69977,9.723951,13.76041,94.6348991797444,42.05487,12.4784,73,0.1621296,9.14410944,92.5736854959641,40.6736194462771,11.0955139796324,2021EconCondition
7.24,0.4,639495.9,5101570,101,51,sec35middle,141,116.880356013183,56.3675204531505,5.30925823999996,92.3527212548703,48.74682,34.30542,44.0783,14.87491,9.839808,13.92436,90.2542714663063,41.40443,12.62708,73,0.1626575,9.173883,94.202351114904,40.8084832682354,11.2262796603446,2021EconCondition
7.24,0.4,639505.9,5101570,101,52,sec35middle,141,111.242209240382,55.1183551736638,3.96079327999996,87.3701917389345,48.01298,34.05899,43.40277,14.98929,9.91547,14.03143,84.1814156235986,40.5433,12.72417,73,0.1627895,9.1813278,79.7194515700635,38.8280299684438,11.4479297995876,2021EconCondition
7.24,0.4,639525.9,5101570,101,54,sec35middle,141,117.231476341785,54.3574448373823,2.7622064,92.8163656539223,48.91107,33.83995,44.16241,15.18371,10.044079,14.21343,92.8303250404696,41.68528,12.88921,73,0.1625934,9.17026776,85.7008727805944,39.8001742986834,11.9237279153783,2021EconCondition
